date,localName,name,countryCode,fixed,global,counties,launchYear,types
2025-01-01,New Year's Day,New Year's Day,CA,False,True,,,['Public']
2025-02-17,Louis Riel Day,Louis Riel Day,CA,False,False,['CA-MB'],,['Public']
2025-02-17,Islander Day,Islander Day,CA,False,False,['CA-PE'],,['Public']
2025-02-17,Heritage Day,Heritage Day,CA,False,False,['CA-NS'],,['Public']
2025-02-17,Family Day,Family Day,CA,False,False,"['CA-AB', 'CA-BC', 'CA-NB', 'CA-ON', 'CA-SK']",,['Public']
2025-03-17,Saint Patrick's Day,Saint Patrick's Day,CA,False,False,['CA-NL'],,['Public']
2025-04-18,Good Friday,Good Friday,CA,False,True,,,['Public']
2025-04-21,Easter Monday,Easter Monday,CA,False,False,"['CA-AB', 'CA-PE']",,['Public']
2025-04-23,Saint George's Day,Saint George's Day,CA,False,False,['CA-NL'],,['Public']
2025-05-19,National Patriots' Day,National Patriots' Day,CA,False,False,['CA-QC'],,['Public']
2025-05-19,Victoria Day,Victoria Day,CA,False,True,,,['Public']
2025-06-21,National Aboriginal Day,National Aboriginal Day,CA,False,False,['CA-NT'],,['Public']
2025-06-24,Discovery Day,Discovery Day,CA,False,False,['CA-NL'],,['Public']
2025-06-24,Fête nationale du Québec,National Holiday,CA,False,False,['CA-QC'],,['Public']
2025-07-01,Canada Day,Canada Day,CA,False,True,,,['Public']
2025-07-12,Orangemen's Day,Orangemen's Day,CA,False,False,['CA-NL'],,['Public']
2025-08-04,Civic Holiday,Civic Holiday,CA,False,False,"['CA-MB', 'CA-NL', 'CA-NT', 'CA-NU', 'CA-ON']",,['Public']
2025-08-04,British Columbia Day,British Columbia Day,CA,False,False,['CA-BC'],,['Public']
2025-08-04,Heritage Day,Heritage Day,CA,False,False,"['CA-AB', 'CA-YT']",,['Public']
2025-08-04,New Brunswick Day,New Brunswick Day,CA,False,False,['CA-NB'],,['Public']
2025-08-04,Natal Day,Natal Day,CA,False,False,['CA-NS'],,['Public']
2025-08-04,Saskatchewan Day,Saskatchewan Day,CA,False,False,['CA-SK'],,['Public']
2025-08-18,Gold Cup Parade Day,Gold Cup Parade Day,CA,False,False,['CA-PE'],,['Public']
2025-08-18,Discovery Day,Discovery Day,CA,False,False,['CA-YT'],,['Public']
2025-09-01,Labour Day,Labour Day,CA,False,True,,,['Public']
2025-09-30,National Day for Truth and Reconciliation,National Day for Truth and Reconciliation,CA,False,True,,,['Public']
2025-10-13,Thanksgiving,Thanksgiving,CA,False,True,,,['Public']
2025-11-11,Armistice Day,Armistice Day,CA,False,False,['CA-NL'],,['Public']
2025-11-11,Remembrance Day,Remembrance Day,CA,False,False,"['CA-AB', 'CA-BC', 'CA-NB', 'CA-NT', 'CA-NS', 'CA-NU', 'CA-PE', 'CA-SK', 'CA-YT']",,['Public']
2025-12-25,Christmas Day,Christmas Day,CA,False,True,,,['Public']
2025-12-26,Boxing Day,St. Stephen's Day,CA,False,False,"['CA-AB', 'CA-NB', 'CA-NS', 'CA-ON', 'CA-PE']",,['Public']
2026-01-01,New Year's Day,New Year's Day,CA,False,True,,,['Public']
